,time,strain1,strain2,strain3,strain4,raw_strain_strain2,stress_strain2
406,82622,112,109,107,123,7.387292222257201e-06,0.0005089844341135211
407,82825,112,109,107,124,7.387292222257201e-06,0.0005089844341135211
408,83027,107,113,94,109,3.693709126556232e-05,0.002544965588197244
409,83230,112,109,107,124,7.387292222257201e-06,0.0005089844341135211
410,83432,113,112,101,126,2.9549546979978913e-05,0.0020359637869205474
411,83635,112,109,107,123,7.387292222257201e-06,0.0005089844341135211
412,83835,109,113,0,55,3.693709126556232e-05,0.002544965588197244
413,84035,112,109,107,123,7.387292222257201e-06,0.0005089844341135211
414,84236,113,113,100,125,3.693709126556232e-05,0.002544965588197244
415,84435,112,108,107,123,0.0,0.0
416,84638,114,112,104,126,2.9549546979978913e-05,0.0020359637869205474
417,84836,112,108,107,123,0.0,0.0
418,85039,113,112,100,125,2.9549546979978913e-05,0.0020359637869205474
419,85241,112,108,107,123,0.0,0.0
420,85444,106,113,38,0,3.693709126556232e-05,0.002544965588197244
421,85645,109,113,97,121,3.693709126556232e-05,0.002544965588197244
422,85847,109,113,94,118,3.693709126556232e-05,0.002544965588197244
423,86047,111,108,107,122,0.0,0.0
424,86251,113,113,76,123,3.693709126556232e-05,0.002544965588197244
425,86452,112,108,107,122,0.0,0.0
426,86651,112,113,98,125,3.693709126556232e-05,0.002544965588197244
427,86852,110,113,49,121,3.693709126556232e-05,0.002544965588197244
428,87053,111,113,98,123,3.693709126556232e-05,0.002544965588197244
429,87251,107,113,0,112,3.693709126556232e-05,0.002544965588197244
430,87454,111,113,97,123,3.693709126556232e-05,0.002544965588197244
431,87656,111,110,97,117,1.4774647458831252e-05,0.0010179732099134732
432,87857,112,108,106,122,0.0,0.0
433,88058,112,108,106,122,0.0,0.0
