time,ax,ay,az,aT
5.334,-0.4268,-0.841,0.2456,0.975
5.337,0.1219,0.4701,0.0697,0.491
5.341,0.6168,0.5075,0.6324,1.019
5.354,0.3119,0.0565,0.2337,0.394
5.361,-0.1995,-0.293,-0.0727,0.362
5.374,-0.5991,-0.011,-0.5348,0.803
5.388,-0.1652,1.1534,-0.4582,1.252
5.392,0.8774,0.5698,-0.2558,1.077
5.44,-0.0513,-0.2536,0.5882,0.643
5.442,0.0268,-0.2647,-1.8827,1.901
5.443,-0.8447,-0.9829,-1.3679,1.884
5.444,-0.373,0.3487,-0.4198,0.661
5.444,0.4845,0.7638,-0.9237,1.293
5.455,0.7189,0.0673,1.4609,1.63
5.461,-0.3775,-0.1796,-2.3363,2.373
5.472,-0.6763,-0.2564,-0.5466,0.907
5.488,-0.5389,0.1255,-1.005,1.147
5.492,0.7403,0.319,-0.161,0.822
5.526,-0.1876,-0.3941,-0.1191,0.452
5.527,-0.3029,-0.4319,-0.8565,1.006
5.528,-0.3351,-0.5214,-0.5811,0.85
5.534,0.0436,0.2828,0.0917,0.3
5.541,0.736,0.7927,0.039,1.082
5.555,0.2358,-0.1543,0.1264,0.309
5.562,0.0026,-0.2513,0.2246,0.337
5.573,0.6866,0.5665,0.039,0.891
5.597,0.2203,0.899,-0.6063,1.106
5.602,0.2189,0.894,-0.6063,1.102
5.603,0.9493,0.2115,-0.3202,1.024
5.639,-0.2426,-0.4044,0.0568,0.475
5.642,-0.2084,0.3591,-1.7174,1.767
5.643,-0.1759,0.3241,-0.8387,0.916
5.644,-0.1634,0.7437,-0.0833,0.766
5.653,0.4357,0.4942,0.088,0.665
5.661,-0.1905,-1.4264,1.4539,2.046
5.672,-0.6546,-0.586,-1.5556,1.787
5.688,0.2136,0.1051,1.0217,1.049
5.692,0.1013,0.6273,-0.2184,0.672
5.723,0.4439,0.0345,1.6491,1.708
5.725,-0.6664,-0.7112,-0.2687,1.011
